Cpu(s):  3.3%us,  4.6%sy,  0.0%ni, 89.0%id,  0.2%wa,  0.0%hi,  0.0%si,  2.9%st
Cpu(s):  3.2%us,  8.9%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.8%si, 87.1%st
Cpu(s):  4.3%us,  9.1%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si, 86.6%st
Cpu(s):  4.0%us, 10.9%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si, 85.1%st
Cpu(s):  4.5%us,  5.3%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.8%si, 89.5%st
Cpu(s):  3.6%us,  7.2%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  1.8%si, 87.4%st
Cpu(s):  6.2%us, 11.2%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  1.2%si, 81.2%st
Cpu(s):  0.7%us,  7.0%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  2.1%si, 90.2%st
Cpu(s):  2.7%us,  9.1%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si, 88.2%st
Cpu(s):  4.5%us,  8.0%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 86.6%st
Cpu(s):  4.5%us,  8.2%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si, 87.3%st
Cpu(s):  2.7%us,  9.7%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 86.7%st
Cpu(s):  2.7%us, 10.0%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si, 87.3%st
Cpu(s):  3.9%us,  9.8%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  1.0%si, 85.3%st
Cpu(s):  1.7%us,  9.3%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si, 89.0%st
Cpu(s): 23.8%us, 76.2%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Cpu(s): 19.8%us, 79.2%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  1.0%si,  0.0%st
Cpu(s): 20.0%us, 80.0%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Cpu(s): 20.0%us, 78.0%sy,  0.0%ni,  1.0%id,  0.0%wa,  0.0%hi,  1.0%si,  0.0%st
Cpu(s): 19.8%us, 79.2%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  1.0%si,  0.0%st
Cpu(s): 20.8%us, 79.2%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Cpu(s): 20.0%us, 79.0%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  1.0%si,  0.0%st
Cpu(s): 18.8%us, 80.2%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  1.0%si,  0.0%st
Cpu(s): 22.5%us, 76.5%sy,  0.0%ni,  1.0%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Cpu(s): 16.3%us, 71.2%sy,  0.0%ni,  1.0%id,  0.0%wa,  0.0%hi,  0.0%si, 11.5%st
Cpu(s):  1.8%us,  7.9%sy,  0.0%ni, 10.5%id,  0.0%wa,  0.0%hi,  0.9%si, 78.9%st
Cpu(s):  1.8%us, 10.7%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 86.6%st
Cpu(s):  3.4%us,  8.4%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si, 88.2%st
Cpu(s):  6.0%us,  5.1%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  1.7%si, 87.2%st
Cpu(s):  6.1%us,  4.4%sy,  0.0%ni,  7.0%id,  0.0%wa,  0.0%hi,  0.9%si, 81.6%st
Cpu(s):  7.4%us,  3.3%sy,  0.0%ni,  6.6%id,  0.0%wa,  0.0%hi,  0.8%si, 81.8%st
Cpu(s):  3.8%us,  8.5%sy,  0.0%ni,  6.6%id,  6.6%wa,  0.0%hi,  0.0%si, 74.5%st
Cpu(s):  2.9%us,  3.9%sy,  0.0%ni, 53.4%id,  1.9%wa,  0.0%hi,  0.0%si, 37.9%st
Cpu(s):  1.9%us, 10.2%sy,  0.0%ni,  4.6%id,  0.0%wa,  0.0%hi,  0.0%si, 83.3%st
Cpu(s):  2.6%us,  7.9%sy,  0.0%ni, 28.1%id,  0.0%wa,  0.0%hi,  0.0%si, 61.4%st
Cpu(s):  2.5%us,  2.5%sy,  0.0%ni, 72.3%id,  0.0%wa,  0.0%hi,  0.0%si, 22.7%st
Cpu(s):  3.4%us,  5.0%sy,  0.0%ni, 42.0%id,  0.0%wa,  0.0%hi,  0.0%si, 49.6%st
Cpu(s):  1.0%us,  4.1%sy,  0.0%ni, 46.9%id,  0.0%wa,  0.0%hi,  0.0%si, 48.0%st
Cpu(s):  2.7%us,  6.4%sy,  0.0%ni, 30.0%id,  0.0%wa,  0.0%hi,  0.0%si, 60.9%st
