PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=9.31 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=2.84 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=1.32 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=1.63 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=1.58 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=1.52 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=1.47 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=1.40 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=1.77 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=1.43 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=1.53 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=1.45 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=1.47 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=1.62 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=1.30 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=0.294 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.358 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.284 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.298 ms
