PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=13807 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=21730 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=12253 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=10207 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=8038 ms
64 bytes from 10.0.0.1: icmp_req=33 ttl=64 time=232 ms
64 bytes from 10.0.0.1: icmp_req=34 ttl=64 time=1.65 ms
64 bytes from 10.0.0.1: icmp_req=35 ttl=64 time=0.280 ms
64 bytes from 10.0.0.1: icmp_req=36 ttl=64 time=0.323 ms
64 bytes from 10.0.0.1: icmp_req=37 ttl=64 time=0.325 ms
64 bytes from 10.0.0.1: icmp_req=38 ttl=64 time=0.354 ms
64 bytes from 10.0.0.1: icmp_req=39 ttl=64 time=0.295 ms
64 bytes from 10.0.0.1: icmp_req=40 ttl=64 time=0.293 ms
64 bytes from 10.0.0.1: icmp_req=41 ttl=64 time=0.302 ms
64 bytes from 10.0.0.1: icmp_req=42 ttl=64 time=0.175 ms
64 bytes from 10.0.0.1: icmp_req=43 ttl=64 time=0.322 ms
64 bytes from 10.0.0.1: icmp_req=44 ttl=64 time=0.291 ms
64 bytes from 10.0.0.1: icmp_req=45 ttl=64 time=0.288 ms
64 bytes from 10.0.0.1: icmp_req=46 ttl=64 time=0.492 ms
64 bytes from 10.0.0.1: icmp_req=47 ttl=64 time=0.176 ms
64 bytes from 10.0.0.1: icmp_req=48 ttl=64 time=0.301 ms
64 bytes from 10.0.0.1: icmp_req=49 ttl=64 time=0.278 ms
64 bytes from 10.0.0.1: icmp_req=50 ttl=64 time=0.246 ms
64 bytes from 10.0.0.1: icmp_req=51 ttl=64 time=0.316 ms
64 bytes from 10.0.0.1: icmp_req=52 ttl=64 time=0.179 ms
64 bytes from 10.0.0.1: icmp_req=53 ttl=64 time=0.188 ms
