PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=45.2 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=46.3 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=53.2 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=60.8 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=46.5 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=48.7 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=57.2 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=42.8 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=55.3 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=60.0 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=474 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=364 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=245 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=235 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=0.299 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=0.293 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=0.296 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=0.359 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=0.302 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=0.320 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=0.300 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.344 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.319 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.329 ms
64 bytes from 10.0.0.1: icmp_req=25 ttl=64 time=0.375 ms
64 bytes from 10.0.0.1: icmp_req=26 ttl=64 time=0.402 ms
64 bytes from 10.0.0.1: icmp_req=27 ttl=64 time=0.355 ms
64 bytes from 10.0.0.1: icmp_req=28 ttl=64 time=0.289 ms
64 bytes from 10.0.0.1: icmp_req=29 ttl=64 time=0.210 ms
64 bytes from 10.0.0.1: icmp_req=30 ttl=64 time=0.299 ms
64 bytes from 10.0.0.1: icmp_req=31 ttl=64 time=0.336 ms
64 bytes from 10.0.0.1: icmp_req=32 ttl=64 time=0.167 ms
64 bytes from 10.0.0.1: icmp_req=33 ttl=64 time=0.296 ms
64 bytes from 10.0.0.1: icmp_req=34 ttl=64 time=0.168 ms
64 bytes from 10.0.0.1: icmp_req=35 ttl=64 time=0.206 ms
64 bytes from 10.0.0.1: icmp_req=36 ttl=64 time=0.186 ms
64 bytes from 10.0.0.1: icmp_req=37 ttl=64 time=0.483 ms
64 bytes from 10.0.0.1: icmp_req=38 ttl=64 time=0.339 ms
64 bytes from 10.0.0.1: icmp_req=39 ttl=64 time=0.311 ms
64 bytes from 10.0.0.1: icmp_req=40 ttl=64 time=0.416 ms
64 bytes from 10.0.0.1: icmp_req=41 ttl=64 time=0.392 ms
64 bytes from 10.0.0.1: icmp_req=42 ttl=64 time=0.227 ms
64 bytes from 10.0.0.1: icmp_req=43 ttl=64 time=0.373 ms
64 bytes from 10.0.0.1: icmp_req=44 ttl=64 time=0.193 ms
64 bytes from 10.0.0.1: icmp_req=45 ttl=64 time=0.293 ms
64 bytes from 10.0.0.1: icmp_req=46 ttl=64 time=0.262 ms
64 bytes from 10.0.0.1: icmp_req=47 ttl=64 time=0.357 ms
