PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=15.1 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=27.0 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=31.5 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=30.5 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=35.3 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=34.3 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=35.0 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=36.9 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=42.0 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=45.4 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=0.271 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=0.188 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=0.279 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=0.416 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=0.310 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=0.223 ms
