PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=8.26 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=3.33 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=2.93 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=3.00 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=2.85 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=2.80 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=3.23 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=2.45 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=3.23 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=2.84 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=2.97 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=2.79 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=3.15 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=2.82 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=2.91 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=2.84 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=3.28 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.300 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.310 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.189 ms
64 bytes from 10.0.0.1: icmp_req=25 ttl=64 time=0.331 ms
64 bytes from 10.0.0.1: icmp_req=26 ttl=64 time=0.420 ms
64 bytes from 10.0.0.1: icmp_req=27 ttl=64 time=0.338 ms
64 bytes from 10.0.0.1: icmp_req=28 ttl=64 time=0.307 ms
64 bytes from 10.0.0.1: icmp_req=29 ttl=64 time=0.288 ms
