Cpu(s):  3.7%us,  5.5%sy,  0.0%ni, 81.7%id,  0.2%wa,  0.0%hi,  0.1%si,  8.8%st
Cpu(s): 10.0%us, 82.2%sy,  0.0%ni,  7.8%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Cpu(s): 24.7%us, 67.7%sy,  0.0%ni,  6.5%id,  0.0%wa,  0.0%hi,  1.1%si,  0.0%st
Cpu(s): 15.2%us, 78.3%sy,  0.0%ni,  5.4%id,  0.0%wa,  0.0%hi,  1.1%si,  0.0%st
Cpu(s): 14.3%us, 51.4%sy,  0.0%ni, 14.3%id,  0.0%wa,  0.0%hi,  0.0%si, 20.0%st
Cpu(s):  2.7%us,  9.0%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 87.4%st
Cpu(s):  1.8%us, 10.8%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 86.5%st
Cpu(s):  2.7%us, 10.0%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 86.4%st
Cpu(s):  0.9%us, 11.0%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 87.2%st
Cpu(s):  1.6%us,  6.5%sy,  0.0%ni, 15.4%id,  0.0%wa,  0.0%hi,  0.8%si, 75.6%st
Cpu(s):  3.5%us,  9.7%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si, 86.7%st
Cpu(s):  1.7%us,  9.2%sy,  0.0%ni,  7.6%id,  0.0%wa,  0.0%hi,  0.8%si, 80.7%st
Cpu(s):  2.8%us,  8.3%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 88.1%st
Cpu(s):  2.7%us,  9.0%sy,  0.0%ni,  0.9%id,  0.0%wa,  0.0%hi,  0.9%si, 86.5%st
Cpu(s):  3.6%us,  9.0%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.0%si, 87.4%st
Cpu(s):  4.5%us,  7.2%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 87.4%st
Cpu(s):  2.6%us,  8.5%sy,  0.0%ni,  6.8%id,  0.0%wa,  0.0%hi,  0.9%si, 81.2%st
Cpu(s):  2.5%us,  9.0%sy,  0.0%ni,  9.0%id,  0.0%wa,  0.0%hi,  0.0%si, 79.5%st
Cpu(s):  3.7%us,  8.3%sy,  0.0%ni,  0.0%id,  0.0%wa,  0.0%hi,  0.9%si, 87.0%st
Cpu(s):  2.8%us,  9.3%sy,  0.0%ni,  0.9%id,  0.0%wa,  0.0%hi,  0.0%si, 87.0%st
