PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=29.7 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=34.8 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=31.5 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=35.8 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=39.2 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=40.4 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=39.8 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=42.4 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=44.2 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=46.0 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=48.1 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=47.4 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=50.3 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=356 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=468 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=481 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=480 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=468 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=371 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=469 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=370 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.254 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.364 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.294 ms
64 bytes from 10.0.0.1: icmp_req=25 ttl=64 time=0.283 ms
64 bytes from 10.0.0.1: icmp_req=26 ttl=64 time=0.305 ms
64 bytes from 10.0.0.1: icmp_req=27 ttl=64 time=0.304 ms
64 bytes from 10.0.0.1: icmp_req=28 ttl=64 time=0.291 ms
64 bytes from 10.0.0.1: icmp_req=29 ttl=64 time=0.298 ms
