PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=6.41 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=3.18 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=2.88 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=2.86 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=3.19 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=3.10 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=0.419 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=0.553 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=0.303 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=0.407 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=0.331 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=0.189 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=0.297 ms
