1495642896.087498,24
1495642896.448640,51
1495642896.803925,27
1495642897.611815,21
1495642898.313025,25
1495642899.133684,20
1495642899.586756,24
1495642900.410754,21
1495642900.769950,0
1495642901.128035,0
1495642901.592020,1
1495642902.051457,24
1495642902.318277,24
1495642902.394382,20
1495642902.465384,21
1495642902.532682,23
1495642902.598510,19
1495642902.665447,22
1495642902.730184,21
1495642902.797179,19
1495642902.868699,23
1495642902.925460,22
1495642902.981953,23
1495642903.039142,21
1495642903.095708,20
1495642903.151361,23
1495642903.210560,22
1495642903.276490,24
1495642903.336244,24
1495642903.394305,21
1495642903.451910,22
1495642903.511139,23
1495642903.577575,21
1495642903.641632,23
1495642903.708796,22
1495642903.773548,23
1495642903.833576,21
1495642903.897811,24
1495642903.957803,23
1495642904.021210,23
1495642904.083415,22
1495642904.144120,25
1495642904.207559,25
1495642904.262310,20
1495642904.317193,21
1495642904.374121,24
1495642904.434570,24
1495642904.492455,23
1495642904.547306,21
1495642904.602449,21
1495642904.658728,22
1495642904.712953,20
1495642904.765987,23
1495642904.820382,23
1495642904.878116,23
1495642904.933939,21
1495642904.994498,23
1495642905.052429,22
1495642905.106374,23
1495642905.151943,22
1495642905.196831,22
1495642905.244492,20
1495642905.297294,23
1495642905.349424,0
1495642905.397980,0
1495642905.421099,0
1495642905.444548,0
1495642905.467557,0
1495642905.490678,0
1495642905.513744,0
1495642905.536574,0
1495642905.559880,0
1495642905.582768,0
1495642905.605993,0
1495642905.629027,0
1495642905.652152,0
1495642905.675191,0
1495642905.698009,0
1495642905.720768,0
1495642905.745811,0
1495642905.770585,0
1495642905.793383,0
1495642905.816357,0
1495642905.839605,0
1495642905.862437,0
1495642905.885245,0
1495642905.907947,0
1495642905.930708,0
1495642905.953706,0
1495642905.976467,0
1495642905.999258,0
1495642906.021991,0
1495642906.044737,0
1495642906.067809,0
1495642906.090623,0
1495642906.113387,0
1495642906.136019,0
1495642906.158761,0
1495642906.181474,0
1495642906.204382,0
1495642906.227096,0
1495642906.249852,0
1495642906.272661,0
1495642906.295378,0
1495642906.318237,0
1495642906.340945,0
