PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=26.3 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=28.1 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=25.5 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=27.0 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=26.8 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=25.4 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=25.6 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=25.9 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=28.2 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=26.0 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=26.5 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=25.9 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=27.4 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=25.6 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=26.8 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.300 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.326 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.330 ms
