PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=1599 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=625 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=53.2 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=30.6 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=60.8 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=52.3 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=369 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=359 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=374 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=248 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=245 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=366 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=365 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=486 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=601 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=600 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=486 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=484 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=486 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=612 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=482 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=598 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=602 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=479 ms
64 bytes from 10.0.0.1: icmp_req=25 ttl=64 time=370 ms
64 bytes from 10.0.0.1: icmp_req=26 ttl=64 time=354 ms
64 bytes from 10.0.0.1: icmp_req=27 ttl=64 time=241 ms
64 bytes from 10.0.0.1: icmp_req=28 ttl=64 time=245 ms
64 bytes from 10.0.0.1: icmp_req=29 ttl=64 time=5.36 ms
64 bytes from 10.0.0.1: icmp_req=30 ttl=64 time=1.08 ms
64 bytes from 10.0.0.1: icmp_req=31 ttl=64 time=0.263 ms
64 bytes from 10.0.0.1: icmp_req=32 ttl=64 time=0.279 ms
64 bytes from 10.0.0.1: icmp_req=33 ttl=64 time=0.445 ms
64 bytes from 10.0.0.1: icmp_req=34 ttl=64 time=0.274 ms
