PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=15.1 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=25.1 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=29.5 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=30.3 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=33.4 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=33.7 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=38.7 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=40.9 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=45.0 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=326 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=355 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=355 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=354 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=335 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=233 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=367 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=341 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=343 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=367 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=367 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=244 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.176 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.299 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.365 ms
64 bytes from 10.0.0.1: icmp_req=25 ttl=64 time=0.327 ms
64 bytes from 10.0.0.1: icmp_req=26 ttl=64 time=108 ms
64 bytes from 10.0.0.1: icmp_req=27 ttl=64 time=0.338 ms
64 bytes from 10.0.0.1: icmp_req=28 ttl=64 time=0.328 ms
64 bytes from 10.0.0.1: icmp_req=29 ttl=64 time=0.294 ms
