PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=11.4 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=7.91 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=8.19 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=6.43 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=8.37 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=7.46 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=7.12 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=9.39 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=9.07 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=10.6 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=9.20 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=11.2 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=11.9 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=12.3 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=11.4 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=9.86 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=12.0 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=11.2 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=10.4 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=12.2 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=0.968 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.195 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.332 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.338 ms
