PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=23.5 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=45.1 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=58.8 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=43.9 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=475 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=344 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=370 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=370 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=371 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=481 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=351 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=482 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=484 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=482 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=487 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=488 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=487 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=455 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=574 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=480 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=248 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.275 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.317 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.298 ms
64 bytes from 10.0.0.1: icmp_req=25 ttl=64 time=0.330 ms
64 bytes from 10.0.0.1: icmp_req=26 ttl=64 time=0.352 ms
64 bytes from 10.0.0.1: icmp_req=27 ttl=64 time=0.366 ms
64 bytes from 10.0.0.1: icmp_req=28 ttl=64 time=0.289 ms
64 bytes from 10.0.0.1: icmp_req=29 ttl=64 time=0.313 ms
64 bytes from 10.0.0.1: icmp_req=30 ttl=64 time=0.398 ms
64 bytes from 10.0.0.1: icmp_req=31 ttl=64 time=0.347 ms
64 bytes from 10.0.0.1: icmp_req=32 ttl=64 time=0.299 ms
64 bytes from 10.0.0.1: icmp_req=33 ttl=64 time=0.363 ms
64 bytes from 10.0.0.1: icmp_req=34 ttl=64 time=0.342 ms
64 bytes from 10.0.0.1: icmp_req=35 ttl=64 time=0.180 ms
64 bytes from 10.0.0.1: icmp_req=36 ttl=64 time=0.291 ms
64 bytes from 10.0.0.1: icmp_req=37 ttl=64 time=0.177 ms
64 bytes from 10.0.0.1: icmp_req=38 ttl=64 time=0.187 ms
