PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=8.03 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=6.94 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=6.25 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=6.23 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=6.36 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=6.76 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=7.13 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=7.11 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=0.191 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.301 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.330 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.301 ms
